county,date,customers_out
Cocke,2021-01-10,6
Coffee,2021-01-10,45
Crockett,2021-01-10,1
Cumberland,2021-01-10,133
Davidson,2021-01-10,11
Fentress,2021-01-10,8
Franklin,2021-01-10,1
Gibson,2021-01-10,1
Giles,2021-01-10,1
Greene,2021-01-10,1
Grundy,2021-01-10,2
Hamblen,2021-01-10,0
Hamilton,2021-01-10,16
Hancock,2021-01-10,5
Hawkins,2021-01-10,0
Henry,2021-01-10,1
Knox,2021-01-10,101
Lake,2021-01-10,62
Madison,2021-01-10,1
Maury,2021-01-10,1
Meigs,2021-01-10,1
Monroe,2021-01-10,6
Montgomery,2021-01-10,112
Pickett,2021-01-10,0
Rutherford,2021-01-10,4
Scott,2021-01-10,0
Sequatchie,2021-01-10,3
Sevier,2021-01-10,15
Shelby,2021-01-10,700
Sullivan,2021-01-10,86
Union,2021-01-10,2
Washington,2021-01-10,4
White,2021-01-10,1
Williamson,2021-01-10,8
Anderson,2021-01-11,7
Bedford,2021-01-11,4
Bledsoe,2021-01-11,0
Blount,2021-01-11,74
Bradley,2021-01-11,0
Campbell,2021-01-11,6
Cannon,2021-01-11,2
Cheatham,2021-01-11,58
Claiborne,2021-01-11,61
Clay,2021-01-11,26
Cocke,2021-01-11,12
Coffee,2021-01-11,0
Cumberland,2021-01-11,163
Davidson,2021-01-11,2778
DeKalb,2021-01-11,1
Dickson,2021-01-11,0
Fentress,2021-01-11,0
Franklin,2021-01-11,1
Greene,2021-01-11,7
Grundy,2021-01-11,0
Hamblen,2021-01-11,0
Hamilton,2021-01-11,0
Hancock,2021-01-11,1
Hawkins,2021-01-11,37
Henry,2021-01-11,3
Hickman,2021-01-11,0
Jefferson,2021-01-11,1
Knox,2021-01-11,103
Lake,2021-01-11,59
Lawrence,2021-01-11,1
Loudon,2021-01-11,1
Macon,2021-01-11,1
Madison,2021-01-11,1
Marion,2021-01-11,0
Marshall,2021-01-11,1
Maury,2021-01-11,1
McMinn,2021-01-11,1
Meigs,2021-01-11,1
Monroe,2021-01-11,5
Montgomery,2021-01-11,31
Morgan,2021-01-11,0
Obion,2021-01-11,9
Overton,2021-01-11,0
Pickett,2021-01-11,0
Polk,2021-01-11,0
Putnam,2021-01-11,0
Rhea,2021-01-11,0
Roane,2021-01-11,0
Robertson,2021-01-11,24
Rutherford,2021-01-11,6
Scott,2021-01-11,0
Sequatchie,2021-01-11,0
Sevier,2021-01-11,32
Shelby,2021-01-11,51
Smith,2021-01-11,0
Stewart,2021-01-11,1
Sullivan,2021-01-11,15
Sumner,2021-01-11,14
Trousdale,2021-01-11,0
Union,2021-01-11,2
Van Buren,2021-01-11,0
Warren,2021-01-11,0
Washington,2021-01-11,9
White,2021-01-11,0
Williamson,2021-01-11,6
Wilson,2021-01-11,1026
Anderson,2021-01-12,0
Bedford,2021-01-12,4
Blount,2021-01-12,25
Bradley,2021-01-12,1
Campbell,2021-01-12,128
Cannon,2021-01-12,3
Cheatham,2021-01-12,1
Chester,2021-01-12,2
Claiborne,2021-01-12,5
Cocke,2021-01-12,12
