table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,
"Annual Estimates of the Resident Population for Incorporated Places in Tennessee: April 1, 2020 to July 1, 2024",,,,,,
Geographic Area,"April 1, 2020
Estimates Base",Population Estimate (as of July 1),,,,
"Sweetwater city, Tennessee","6,423","6,437","6,416","6,512","6,630","6,676"
"Tazewell town, Tennessee","2,346","2,346","2,345","2,340","2,359","2,380"
"Tellico Plains town, Tennessee",762,763,760,770,776,781
"Tennessee Ridge town, Tennessee","1,323","1,326","1,326","1,318","1,342","1,361"
"Thompson's Station town, Tennessee","7,438","7,551","7,932","8,287","8,620","9,081"
"Three Way city, Tennessee","1,890","1,890","1,895","1,907","1,910","1,922"
"Tiptonville town, Tennessee","3,975","3,968","3,496","3,499","3,460","3,425"
"Toone town, Tennessee",267,266,266,267,266,265
"Townsend city, Tennessee",548,553,573,600,613,628
"Tracy City town, Tennessee","1,405","1,406","1,409","1,424","1,437","1,446"
"Trenton city, Tennessee","4,238","4,235","4,163","4,147","4,101","4,111"
"Trezevant town, Tennessee",794,794,792,797,809,813
"Trimble town, Tennessee",546,544,542,535,534,532
"Troy town, Tennessee","1,411","1,410","1,401","1,404","1,410","1,407"
"Tullahoma city, Tennessee","20,345","20,401","20,665","20,778","20,954","21,035"
"Tusculum city, Tennessee","3,298","3,299","3,290","3,329","3,362","3,394"
"Unicoi town, Tennessee","3,816","3,810","3,775","3,783","3,824","3,845"
"Union City city, Tennessee","11,173","11,162","11,008","10,972","10,950","10,876"
"Vanleer town, Tennessee",568,570,580,582,588,597
"Viola town, Tennessee",103,103,104,107,110,112
"Vonore town, Tennessee","1,573","1,579","1,585","1,626","1,659","1,684"
"Walden town, Tennessee","1,980","1,984","1,981","1,977","1,983","1,974"
"Wartburg city, Tennessee",912,912,898,907,941,944
"Wartrace town, Tennessee",654,660,662,662,671,670
"Watauga city, Tennessee",352,352,353,358,362,367
"Watertown city, Tennessee","1,552","1,555","1,555","1,596","1,613","1,642"
"Waverly city, Tennessee","4,301","4,300","4,325","4,209","4,300","4,381"
"Waynesboro city, Tennessee","2,317","2,314","2,332","2,318","2,314","2,311"
"Westmoreland town, Tennessee","2,813","2,817","2,827","2,847","2,879","2,885"
"White Bluff town, Tennessee","3,862","3,872","3,967","4,006","4,166","4,386"
"White House city, Tennessee","13,031","13,106","13,683","14,515","15,373","16,463"
"White Pine town, Tennessee","2,477","2,545","2,560","2,579","2,574","2,584"
"Whiteville town, Tennessee","4,580","4,578","4,387","4,563","4,580","4,564"
"Whitwell city, Tennessee","1,650","1,648","1,638","1,626","1,621","1,616"
"Williston city, Tennessee",352,351,348,343,340,337
"Winchester city, Tennessee","9,372","9,409","9,501","9,841","9,997","10,251"
"Winfield town, Tennessee",965,966,968,971,"1,007","1,020"
"Woodbury town, Tennessee","2,701","2,721","2,683","2,796","2,844","2,831"
"Woodland Mills city, Tennessee",343,343,340,338,338,338
"Yorkville city, Tennessee",235,235,234,231,232,231
"The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-6000042 and P-7501659. Disclosure Review Board (DRB) approval number: CBDRB-FY25-0078).    ",,,,,,
"Note: The estimates are based on the 2020 Census and reflect changes to the April 1, 2020 population due to the Count Question Resolution and Post-Census Group Quarters Review programs, geographic program revisions, and the application of disclosure avoidance to protect confidentiality. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2024 population estimates series are as of January 1, 2024. For updates on Legal Boundary Change/Annexation Data, see https://www.census.gov/geographies/reference-files/time-series/geo/bas/annex.html. Additional information on these localities can be found in the Geographic Boundary Change Notes (see https://www.census.gov/programs-surveys/geography/technical-documentation/boundary-change-notes.html). ",,,,,,
Suggested Citation:,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places in Tennessee: April 1, 2020 to July 1, 2024 (SUB-IP-EST2024-POP-47)",,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,
Release Date: May 2025,,,,,,
