county,date,customers_out
Franklin,2021-01-12,2.0
Franklin,2021-01-13,4.0
Franklin,2021-01-14,3.0
Franklin,2021-01-15,1.0
Gibson,2021-01-12,1.0
Gibson,2021-01-13,10.0
Giles,2021-01-12,14.0
Giles,2021-01-13,1651.0
Giles,2021-01-14,5.0
Giles,2021-01-15,5.0
Grainger,2021-01-12,
Grainger,2021-01-14,
Greene,2021-01-12,4.0
Greene,2021-01-13,9.0
Greene,2021-01-14,18.0
Greene,2021-01-15,2.0
Hamblen,2021-01-12,1.0
Hamblen,2021-01-13,
Hamblen,2021-01-14,
Hamblen,2021-01-15,
Hamilton,2021-01-12,1557.0
Hamilton,2021-01-14,3.0
Hancock,2021-01-12,1.0
Hancock,2021-01-13,1.0
Hancock,2021-01-14,1.0
Hancock,2021-01-15,1.0
Hardeman,2021-01-12,
Hardeman,2021-01-13,380.0
Hawkins,2021-01-12,5.0
Hawkins,2021-01-13,11.0
Hawkins,2021-01-14,42.0
Hawkins,2021-01-15,7.0
Haywood,2021-01-12,
Haywood,2021-01-13,380.0
Haywood,2021-01-14,2.0
Henry,2021-01-12,1.0
Henry,2021-01-13,10.0
Henry,2021-01-14,2.0
Henry,2021-01-15,3.0
Hickman,2021-01-12,
Jefferson,2021-01-12,
Jefferson,2021-01-13,1.0
Jefferson,2021-01-14,7.0
Jefferson,2021-01-15,7.0
Knox,2021-01-12,4163.0
Knox,2021-01-13,24.0
Knox,2021-01-14,99.0
Knox,2021-01-15,1664.0
Lawrence,2021-01-12,4.0
Lawrence,2021-01-13,697.0
Lawrence,2021-01-14,26.0
Lawrence,2021-01-15,3.0
Loudon,2021-01-12,1.0
Loudon,2021-01-13,16.0
Loudon,2021-01-14,28.0
Loudon,2021-01-15,
Macon,2021-01-13,14.0
Macon,2021-01-14,2.0
Macon,2021-01-15,8.0
Madison,2021-01-14,4.0
Marion,2021-01-12,1.0
Marion,2021-01-13,7.0
Marion,2021-01-14,3.0
Marion,2021-01-15,3.0
Marshall,2021-01-12,1.0
Marshall,2021-01-13,3.0
Marshall,2021-01-14,2.0
Marshall,2021-01-15,4.0
Maury,2021-01-12,2.0
Maury,2021-01-13,1.0
Maury,2021-01-14,4.0
Maury,2021-01-15,2.0
McMinn,2021-01-12,1.0
McMinn,2021-01-13,1.0
McMinn,2021-01-14,3.0
McMinn,2021-01-15,15.0
Meigs,2021-01-12,1.0
Meigs,2021-01-13,9.0
Monroe,2021-01-12,7.0
Monroe,2021-01-13,293.0
Monroe,2021-01-14,3.0
Monroe,2021-01-15,251.0
Montgomery,2021-01-12,61.0
Montgomery,2021-01-13,73.0
Montgomery,2021-01-14,38.0
Montgomery,2021-01-15,69.0
Morgan,2021-01-12,
Morgan,2021-01-13,
Obion,2021-01-13,41.0
Obion,2021-01-14,2.0
Obion,2021-01-15,2.0
Overton,2021-01-15,6.0
Pickett,2021-01-12,
