Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,source_year,Event Month,event_start,event_end,duration_hours
October,10/18/2021,22:18:00,10/18/2021,23:30:00,Pennsylvania:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021,,2021-10-18 22:18:00-05:00,2021-10-18 23:30:00-05:00,1.2
October,10/18/2021,23:26:00,10/19/2021,15:00:00,Pennsylvania: Montgomery County;,RF,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",Suspicious Activity,0,0,2021,,2021-10-18 23:26:00-05:00,2021-10-19 15:00:00-05:00,15.566666666666666
October,10/18/2021,23:27:00,10/19/2021,10:05:00,Georgia: DeKalb County;,SERC,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",Suspicious Activity,0,0,2021,,2021-10-18 23:27:00-05:00,2021-10-19 10:05:00-05:00,10.633333333333333
October,10/18/2021,22:26:00,10/19/2021,08:19:00,Missouri: Boone County;,SERC/MRO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2021,,2021-10-18 22:26:00-05:00,2021-10-19 08:19:00-05:00,9.883333333333333
October,10/18/2021,11:47:00,10/18/2021,11:48:00,Florida: Putnam County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2021,,2021-10-18 11:47:00-05:00,2021-10-18 11:48:00-05:00,0.016666666666666666
October,10/19/2021,15:34:00,10/19/2021,16:26:00,Ohio: Summit County;,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,42,1,2021,,2021-10-19 15:34:00-05:00,2021-10-19 16:26:00-05:00,0.8666666666666667
October,10/20/2021,23:00:00,10/21/2021,01:20:00,Wisconsin: Eau Claire County;,MRO/RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021,,2021-10-20 23:00:00-05:00,2021-10-21 01:20:00-05:00,2.3333333333333335
October,10/22/2021,19:55:00,10/23/2021,05:55:00,Louisiana: Lafayette Parish;,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,132,0,2021,,2021-10-22 19:55:00-05:00,2021-10-23 05:55:00-05:00,10.0
October,10/24/2021,08:55:00,10/25/2021,18:15:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,116,59000,2021,,2021-10-24 08:55:00-05:00,2021-10-25 18:15:00-05:00,33.333333333333336
October,10/24/2021,07:00:00,10/26/2021,21:30:00,"Washington: King County, Pierce County, Skagit County, Thurston County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,233000,2021,,2021-10-24 07:00:00-05:00,2021-10-26 21:30:00-05:00,62.5
October,10/27/2021,17:57:00,10/28/2021,16:49:00,Louisiana: Ascension Parish;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,0,0,2021,,2021-10-27 17:57:00-05:00,2021-10-28 16:49:00-05:00,22.866666666666667
October,10/27/2021,02:25:00,10/29/2021,08:37:00,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,169000,2021,,2021-10-27 02:25:00-05:00,2021-10-29 08:37:00-05:00,54.2
October,10/28/2021,12:47:00,10/28/2021,13:05:00,Montana: Valley County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,20,0,2021,,2021-10-28 12:47:00-05:00,2021-10-28 13:05:00-05:00,0.3
October,10/28/2021,14:15:00,10/30/2021,08:00:00,"Texas: Angelina County, Bell County, Cherokee County, Collin County, Denton County, Dallas County, Ellis County, Hunt County, Johnson County, McLennan County, Nacogdoches County, Smith County, Tarrant County, Travis County, Williamson County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,250000,2021,,2021-10-28 14:15:00-05:00,2021-10-30 08:00:00-05:00,41.75
October,10/28/2021,14:45:00,10/29/2021,20:30:00,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,130000,2021,,2021-10-28 14:45:00-05:00,2021-10-29 20:30:00-05:00,29.75
October,10/28/2021,12:06:00,10/28/2021,12:30:00,Texas: Haskell County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,Unknown,Unknown,2021,,2021-10-28 12:06:00-05:00,2021-10-28 12:30:00-05:00,0.4
October,10/29/2021,14:20:00,10/29/2021,15:00:00,Vermont: Lamoille County;,NPCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2021,,2021-10-29 14:20:00-05:00,2021-10-29 15:00:00-05:00,0.6666666666666666
October,10/30/2021,07:31:00,Unknown,Unknown,New Jersey:,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Unknown,Unknown,2021,,2021-10-30 07:31:00-05:00,,
October,10/31/2021,07:49:00,10/31/2021,09:32:00,California: Alameda County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0,2021,,2021-10-31 07:49:00-05:00,2021-10-31 09:32:00-05:00,1.7166666666666666
November,11/04/2021,21:34:00,11/04/2021,22:57:00,Montana: Hill County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,44,Unknown,2021,,2021-11-04 21:34:00-05:00,2021-11-04 22:57:00-05:00,1.3833333333333333
November,11/06/2021,06:45:00,11/06/2021,07:00:00,Pennsylvania: York County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2021,,2021-11-06 06:45:00-05:00,2021-11-06 07:00:00-05:00,0.25
November,11/06/2021,08:40:00,11/06/2021,08:41:00,Washington: Grant County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Unknown,350,2021,,2021-11-06 08:40:00-05:00,2021-11-06 08:41:00-05:00,0.016666666666666666
November,11/08/2021,22:53:00,11/08/2021,23:33:00,Washington: King County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,System Operations,9,Unknown,2021,,2021-11-08 22:53:00-06:00,2021-11-08 23:33:00-06:00,0.6666666666666666
November,11/09/2021,18:00:00,11/09/2021,20:00:00,Mississippi: Coahoma County;,SERC, Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,System Operations,Unknown,Unknown,2021,,2021-11-09 18:00:00-06:00,2021-11-09 20:00:00-06:00,2.0
November,11/09/2021,08:50:00,11/09/2021,16:00:00,Indiana: Floyd County;,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2021,,2021-11-09 08:50:00-06:00,2021-11-09 16:00:00-06:00,7.166666666666667
November,11/10/2021,21:19:00,11/11/2021,01:19:00,Texas: Brazos County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2021,,2021-11-10 21:19:00-06:00,2021-11-11 01:19:00-06:00,4.0
November,11/10/2021,09:49:00,11/10/2021,10:05:00,New York:,NPCC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,2021,,2021-11-10 09:49:00-06:00,2021-11-10 10:05:00-06:00,0.26666666666666666
November,11/11/2021,05:52:00,11/11/2021,06:09:00,Texas: Montgomery County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,67,Unknown,2021,,2021-11-11 05:52:00-06:00,2021-11-11 06:09:00-06:00,0.2833333333333333
November,11/12/2021,07:00:00,11/12/2021,07:14:00,Oregon: Multnomah County; Washington: Idaho: Utah: Wyoming:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2021,,2021-11-12 07:00:00-06:00,2021-11-12 07:14:00-06:00,0.23333333333333334
November,11/15/2021,11:47:00,Unknown,Unknown,Colorado: Larimer County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspicious Activity,0,0,2021,,2021-11-15 11:47:00-06:00,,
November,11/15/2021,11:00:00,11/17/2021,06:00:00,"Washington: King County, Kitsap County, Whatcom County, Thurston County, Pierce County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,90000,2021,,2021-11-15 11:00:00-06:00,2021-11-17 06:00:00-06:00,43.0
